chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AAPL,2020-09-25,115.0000,call,sell,2020-09-18T13:44:41.357069Z,credit,1.00000,limit,short_call,,1.24000000,1.00000
AAPL,2020-09-18,120.0000,call,buy,2020-09-18T13:43:55.912596Z,debit,1.00000,limit,,short_call,0.01000000,1.00000
XLF,2020-09-25,24.0000,put,sell,2020-09-17T14:20:38.763609Z,credit,1.00000,limit,iron_condor,,0.10000000,1.00000
XLF,2020-09-25,23.5000,put,buy,2020-09-17T14:20:38.763609Z,credit,1.00000,limit,iron_condor,,0.10000000,1.00000
XLF,2020-09-25,26.0000,call,sell,2020-09-17T14:20:38.763609Z,credit,1.00000,limit,iron_condor,,0.10000000,1.00000
XLF,2020-09-25,26.5000,call,buy,2020-09-17T14:20:38.763609Z,credit,1.00000,limit,iron_condor,,0.10000000,1.00000
JPM,2020-09-18,105.0000,call,buy,2020-09-15T16:00:24.723711Z,credit,1.00000,limit,iron_condor,,0.19000000,1.00000
JPM,2020-09-18,104.0000,call,sell,2020-09-15T16:00:24.723711Z,credit,1.00000,limit,iron_condor,,0.19000000,1.00000
JPM,2020-09-18,97.0000,put,sell,2020-09-15T16:00:24.723711Z,credit,1.00000,limit,iron_condor,,0.19000000,1.00000
JPM,2020-09-18,96.0000,put,buy,2020-09-15T16:00:24.723711Z,credit,1.00000,limit,iron_condor,,0.19000000,1.00000
JPM,2020-09-18,105.0000,call,buy,2020-09-15T16:00:06.930235Z,credit,1.00000,limit,iron_condor,,0.19000000,1.00000
JPM,2020-09-18,104.0000,call,sell,2020-09-15T16:00:06.930235Z,credit,1.00000,limit,iron_condor,,0.19000000,1.00000
JPM,2020-09-18,97.0000,put,sell,2020-09-15T16:00:06.930235Z,credit,1.00000,limit,iron_condor,,0.19000000,1.00000
JPM,2020-09-18,96.0000,put,buy,2020-09-15T16:00:06.930235Z,credit,1.00000,limit,iron_condor,,0.19000000,1.00000
